meas	end_use
(R) Ref. Case Misc. Electric Appliances	Other
(C) Best HP FS (NG Furnace & AC)	Heating (Equip.)
(C) Best HP FS (NG Furnace & AC)	Cooling (Equip.)
(R) Best HP TS (Resist. Heat, No Cool)	Heating (Equip.)
(R) Best HP TS (Resist. Heat, No Cool)	Cooling (Equip.)
(R) ESTAR HP TS (Resist.)	Heating (Equip.)
(R) ESTAR HP TS (Resist.)	Cooling (Equip.)
(R) Best HP FS (Other Fossil Furnace)	Heating (Equip.)
(R) Best HP FS (Other Fossil Furnace)	Cooling (Equip.)
(R) ESTAR HP Pt. FS (NG Furnace)	Heating (Equip.)
(R) ESTAR HP Pt. FS (NG Furnace)	Cooling (Equip.)
(R) Best HP FS (NG Boiler)	Heating (Equip.)
(R) Best HP FS (NG Boiler)	Cooling (Equip.)
(C) Best HP Pt. FS (Other Fossil Boiler)	Heating (Equip.)
(C) Best HP Pt. FS (Other Fossil Boiler)	Cooling (Equip.)
(C) Ref. Case Resist. WH	Water Heating
(C) ESTAR HP FS (RTU, Other Fossil Heat)	Heating (Equip.)
(C) ESTAR HP FS (RTU, Other Fossil Heat)	Cooling (Equip.)
(R) Electric FS (Secondary Fossil Heating)	Heating (Equip.)
(R) ESTAR 120V HPWH FS	Water Heating
(R) Best HPWH FS	Water Heating
(C) 90.1 Plug Loads	Computers and Electronics
(R) Ref. Case Other Fossil Boiler & AC	Heating (Equip.)
(R) Ref. Case Other Fossil Boiler & AC	Cooling (Equip.)
(R) Best HP Pt. FS (NG Furnace)	Heating (Equip.)
(R) Best HP Pt. FS (NG Furnace)	Cooling (Equip.)
(C) ESTAR HP FS (NG Furnace)	Heating (Equip.)
(C) ESTAR HP FS (NG Furnace)	Cooling (Equip.)
(C) ESTAR HP Pt. FS (RTU, NG Heat)	Heating (Equip.)
(C) ESTAR HP Pt. FS (RTU, NG Heat)	Cooling (Equip.)
(C) Best HP Pt. FS (RTU, Other Fossil Heat)	Heating (Equip.)
(C) Best HP Pt. FS (RTU, Other Fossil Heat)	Cooling (Equip.)
(C) Brk. HP FS (NG Furnace & AC)	Heating (Equip.)
(C) Brk. HP FS (NG Furnace & AC)	Cooling (Equip.)
(C) Ref. Case NG Furnace & AC	Heating (Equip.)
(C) Ref. Case NG Furnace & AC	Cooling (Equip.)
(R) Brk. HP TS (Resist.)	Heating (Equip.)
(R) Brk. HP TS (Resist.)	Cooling (Equip.)
(C) ESTAR HP Pt. FS (NG Furnace)	Heating (Equip.)
(C) ESTAR HP Pt. FS (NG Furnace)	Cooling (Equip.)
(R) Ref. Case GSHP	Heating (Equip.)
(R) Ref. Case GSHP	Cooling (Equip.)
(C) 90.1 Lighting	Lighting
(C) Ref. Case Fossil Other	Other
(C) Ref. Case Other Fossil Boiler & Chiller	Heating (Equip.)
(C) Ref. Case Other Fossil Boiler & Chiller	Cooling (Equip.)
(C) Best HP Pt. FS (Other Fossil Furnace & AC)	Heating (Equip.)
(C) Best HP Pt. FS (Other Fossil Furnace & AC)	Cooling (Equip.)
(R) Ref. Case Gas Range	Cooking
(C) Best HPWH FS	Water Heating
(R) Ref. Case Resist. Heat, No Cooling	Heating (Equip.)
(R) Ref. Case Resist. Heat, No Cooling	Cooling (Equip.)
(C) ESTAR HP FS (RTU, NG Heat)	Heating (Equip.)
(C) ESTAR HP FS (RTU, NG Heat)	Cooling (Equip.)
(R) Brk. HP FS (Other Fossil Furnace)	Heating (Equip.)
(R) Brk. HP FS (Other Fossil Furnace)	Cooling (Equip.)
(R) Ref. Case NGHP	Heating (Equip.)
(R) Ref. Case NGHP	Cooling (Equip.)
(R) ESTAR HP Pt. FS (Other Fossil Furnace)	Heating (Equip.)
(R) ESTAR HP Pt. FS (Other Fossil Furnace)	Cooling (Equip.)
