meas,Scout_end_use,original_ann,measure_ann,original_ts,measure_ts
(R) Ref. Case Other Fossil Boiler & AC,Cooling (Equip.),res_hvac_ann_21,res_hvac_ann_21,res_cooling_ts_1,res_cooling_ts_1
(R) Ref. Case Other Fossil Boiler & AC,Heating (Equip.),res_hvac_ann_21,res_hvac_ann_21,res_heating_ts_2,res_heating_ts_2
(R) Ref. Case Other Fossil Furnace & AC,Cooling (Equip.),res_hvac_ann_21,res_hvac_ann_21,res_cooling_ts_1,res_cooling_ts_1
(R) Ref. Case Other Fossil Furnace & AC,Heating (Equip.),res_hvac_ann_21,res_hvac_ann_21,res_heating_ts_2,res_heating_ts_2
"(R) Ref. Case Other Fossil Heat, No Cooling",Cooling (Equip.),res_hvac_ann_73,res_hvac_ann_73,res_cooling_ts_1,res_cooling_ts_1
"(R) Ref. Case Other Fossil Heat, No Cooling",Heating (Equip.),res_hvac_ann_73,res_hvac_ann_73,res_heating_ts_2,res_heating_ts_2
(R) Ref. Case Resist. Heat & AC,Cooling (Equip.),res_hvac_ann_1,res_hvac_ann_1,res_cooling_ts_1,res_cooling_ts_1
(R) Ref. Case Resist. Heat & AC,Heating (Equip.),res_hvac_ann_1,res_hvac_ann_1,res_heating_ts_1,res_heating_ts_1
"(R) Ref. Case Resist. Heat, No Cooling",Cooling (Equip.),res_hvac_ann_53,res_hvac_ann_53,res_cooling_ts_1,res_cooling_ts_1
"(R) Ref. Case Resist. Heat, No Cooling",Heating (Equip.),res_hvac_ann_53,res_hvac_ann_53,res_heating_ts_1,res_heating_ts_1
(R) Ref. Case Secondary Electric Heating,Cooling (Equip.),res_hvac_ann_52,res_hvac_ann_52,res_cooling_ts_1,res_cooling_ts_1
(R) Ref. Case Secondary Electric Heating,Heating (Equip.),res_hvac_ann_52,res_hvac_ann_52,res_heating_ts_1,res_heating_ts_1
(R) Ref. Case Secondary Fossil Heating,Cooling (Equip.),res_hvac_ann_10,res_hvac_ann_10,res_cooling_ts_1,res_cooling_ts_1
(R) Ref. Case Secondary Fossil Heating,Heating (Equip.),res_hvac_ann_10,res_hvac_ann_10,res_heating_ts_2,res_heating_ts_2
