group_ann	original	description	in.heating_fuel	in.hvac_cooling_type	upgrade	shape_ts_cooling	shape_ts_heating	version
res_hvac_ann_62	NG heating no cooling	NG heating no cooling	Natural Gas	None	0	res_cooling_ts_1	res_heating_ts_2	7/19/24
res_hvac_ann_63	NG heating no cooling	NG heating no cooling to ES ASHP	Natural Gas	None	1	res_cooling_ts_2	res_heating_ts_3	7/19/24
res_hvac_ann_64	NG heating no cooling	NG heating no cooling to high eff ASHP	Natural Gas	None	2	res_cooling_ts_3	res_heating_ts_4	7/19/24
res_hvac_ann_65	NG heating no cooling	NG heating no cooling to ultra high eff ASHP	Natural Gas	None	3	res_cooling_ts_4	res_heating_ts_5	7/19/24
res_hvac_ann_66	NG heating no cooling	NG heating no cooling to ES ASHP existing backup	Natural Gas	None	4	res_cooling_ts_4	res_heating_ts_6	7/19/24
res_hvac_ann_67	NG heating no cooling	NG heating no cooling to GSHP	Natural Gas	None	5	res_cooling_ts_5	res_heating_ts_7	7/19/24
res_hvac_ann_68	NG heating no cooling	NG heating no cooling to ES ASHP + light env	Natural Gas	None	6	res_cooling_ts_6	res_heating_ts_8	7/19/24
res_hvac_ann_69	NG heating no cooling	NG heating no cooling to high eff ASHP + light env	Natural Gas	None	7	res_cooling_ts_7	res_heating_ts_9	7/19/24
res_hvac_ann_7	ER heating + AC	ER heating + AC to high eff ASHP + light env	Electricity	Central AC	7	res_cooling_ts_7	res_heating_ts_9	7/19/24
res_hvac_ann_7	ER heating + AC	ER heating + AC to high eff ASHP + light env	Electricity	Room AC	7	res_cooling_ts_7	res_heating_ts_9	7/19/24
res_hvac_ann_70	NG heating no cooling	NG heating no cooling to ultra high eff ASHP + light env	Natural Gas	None	8	res_cooling_ts_8	res_heating_ts_10	7/19/24
res_hvac_ann_71	NG heating no cooling	NG heating no cooling to ES ASHP existing backup + light env	Natural Gas	None	9	res_cooling_ts_8	res_heating_ts_11	7/19/24
res_hvac_ann_72	NG heating no cooling	NG heating no cooling to GSHP + light env	Natural Gas	None	10	res_cooling_ts_9	res_heating_ts_12	7/19/24
res_hvac_ann_73	Other fossil heating no cooling	Other fossil heating no cooling	Fuel Oil	None	0	res_cooling_ts_1	res_heating_ts_2	7/19/24
res_hvac_ann_73	Other fossil heating no cooling	Other fossil heating no cooling	Propane	None	0	res_cooling_ts_1	res_heating_ts_2	7/19/24
res_hvac_ann_73	Other fossil heating no cooling	Other fossil heating no cooling	Other Fuel	None	0	res_cooling_ts_1	res_heating_ts_2	7/19/24
res_hvac_ann_74	Other fossil heating no cooling	Other fossil heating no cooling to ES ASHP	Fuel Oil	None	1	res_cooling_ts_2	res_heating_ts_3	7/19/24
res_hvac_ann_74	Other fossil heating no cooling	Other fossil heating no cooling to ES ASHP	Propane	None	1	res_cooling_ts_2	res_heating_ts_3	7/19/24
res_hvac_ann_74	Other fossil heating no cooling	Other fossil heating no cooling to ES ASHP	Other Fuel	None	1	res_cooling_ts_2	res_heating_ts_3	7/19/24
res_hvac_ann_75	Other fossil heating no cooling	Other fossil heating no cooling to high eff ASHP	Fuel Oil	None	2	res_cooling_ts_3	res_heating_ts_4	7/19/24
res_hvac_ann_75	Other fossil heating no cooling	Other fossil heating no cooling to high eff ASHP	Propane	None	2	res_cooling_ts_3	res_heating_ts_4	7/19/24
res_hvac_ann_75	Other fossil heating no cooling	Other fossil heating no cooling to high eff ASHP	Other Fuel	None	2	res_cooling_ts_3	res_heating_ts_4	7/19/24
res_hvac_ann_76	Other fossil heating no cooling	Other fossil heating no cooling to ultra high eff ASHP	Fuel Oil	None	3	res_cooling_ts_4	res_heating_ts_5	7/19/24
res_hvac_ann_76	Other fossil heating no cooling	Other fossil heating no cooling to ultra high eff ASHP	Propane	None	3	res_cooling_ts_4	res_heating_ts_5	7/19/24
