group_ann	original	description	in.heating_fuel	in.hvac_combined_type	upgrade	shape_ts_cooling	shape_ts_heating	version
com_hvac_ann_28	other fossil furnace+rtac	other fossil furnace+rtac	FuelOil	Zone terminal equipment_Furnace_None	0	com_cooling_ts_6	com_heating_ts_8	7/29/24
com_hvac_ann_28	other fossil furnace+rtac	other fossil furnace+rtac	FuelOil	Central Single-zone RTU_Furnace_DX	0	com_cooling_ts_6	com_heating_ts_8	7/29/24
com_hvac_ann_28	other fossil furnace+rtac	other fossil furnace+rtac	Propane	Central Single-zone RTU_Furnace_Evaporative Cooling	0	com_cooling_ts_6	com_heating_ts_8	7/29/24
com_hvac_ann_28	other fossil furnace+rtac	other fossil furnace+rtac	Propane	Central Single-zone RTU_Furnace_DX	0	com_cooling_ts_6	com_heating_ts_8	7/29/24
com_hvac_ann_29	other fossil furnace+rtac	"other fossil furnace+rtac to Variable Speed HP RTU, Electric Backup"	FuelOil	Central Single-zone RTU_Furnace_Evaporative Cooling	1	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_29	other fossil furnace+rtac	"other fossil furnace+rtac to Variable Speed HP RTU, Electric Backup"	FuelOil	Zone terminal equipment_Furnace_None	1	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_29	other fossil furnace+rtac	"other fossil furnace+rtac to Variable Speed HP RTU, Electric Backup"	FuelOil	Central Single-zone RTU_Furnace_DX	1	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_29	other fossil furnace+rtac	"other fossil furnace+rtac to Variable Speed HP RTU, Electric Backup"	Propane	Central Single-zone RTU_Furnace_Evaporative Cooling	1	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_29	other fossil furnace+rtac	"other fossil furnace+rtac to Variable Speed HP RTU, Electric Backup"	Propane	Central Single-zone RTU_Furnace_DX	1	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_30	other fossil furnace+rtac	"other fossil furnace+rtac to Variable Speed HP RTU, Electric Backup, Energy Recovery"	FuelOil	Central Single-zone RTU_Furnace_Evaporative Cooling	3	com_cooling_ts_2	com_heating_ts_3	7/29/24
com_hvac_ann_30	other fossil furnace+rtac	"other fossil furnace+rtac to Variable Speed HP RTU, Electric Backup, Energy Recovery"	FuelOil	Zone terminal equipment_Furnace_None	3	com_cooling_ts_2	com_heating_ts_3	7/29/24
com_hvac_ann_30	other fossil furnace+rtac	"other fossil furnace+rtac to Variable Speed HP RTU, Electric Backup, Energy Recovery"	FuelOil	Central Single-zone RTU_Furnace_DX	3	com_cooling_ts_2	com_heating_ts_3	7/29/24
com_hvac_ann_30	other fossil furnace+rtac	"other fossil furnace+rtac to Variable Speed HP RTU, Electric Backup, Energy Recovery"	Propane	Central Single-zone RTU_Furnace_Evaporative Cooling	3	com_cooling_ts_2	com_heating_ts_3	7/29/24
com_hvac_ann_30	other fossil furnace+rtac	"other fossil furnace+rtac to Variable Speed HP RTU, Electric Backup, Energy Recovery"	Propane	Central Single-zone RTU_Furnace_DX	3	com_cooling_ts_2	com_heating_ts_3	7/29/24
com_hvac_ann_31	other fossil furnace+rtac	"other fossil furnace+rtac to Variable Speed HP RTU, Original Heating Fuel Backup"	FuelOil	Central Single-zone RTU_Furnace_Evaporative Cooling	2	com_cooling_ts_1	com_heating_ts_2	7/29/24
com_hvac_ann_31	other fossil furnace+rtac	"other fossil furnace+rtac to Variable Speed HP RTU, Original Heating Fuel Backup"	FuelOil	Zone terminal equipment_Furnace_None	2	com_cooling_ts_1	com_heating_ts_2	7/29/24
com_hvac_ann_31	other fossil furnace+rtac	"other fossil furnace+rtac to Variable Speed HP RTU, Original Heating Fuel Backup"	FuelOil	Central Single-zone RTU_Furnace_DX	2	com_cooling_ts_1	com_heating_ts_2	7/29/24
com_hvac_ann_31	other fossil furnace+rtac	"other fossil furnace+rtac to Variable Speed HP RTU, Original Heating Fuel Backup"	Propane	Central Single-zone RTU_Furnace_Evaporative Cooling	2	com_cooling_ts_1	com_heating_ts_2	7/29/24
com_hvac_ann_31	other fossil furnace+rtac	"other fossil furnace+rtac to Variable Speed HP RTU, Original Heating Fuel Backup"	Propane	Central Single-zone RTU_Furnace_DX	2	com_cooling_ts_1	com_heating_ts_2	7/29/24
com_hvac_ann_32	resistance heat+chiller	resistance heat+chiller	Electricity	DOAS+Zone terminal equipment_Electric Resistance_ACC	0	com_cooling_ts_5	com_heating_ts_7	7/29/24
com_hvac_ann_32	resistance heat+chiller	resistance heat+chiller	Electricity	DOAS+Zone terminal equipment_Electric Resistance_WCC	0	com_cooling_ts_5	com_heating_ts_7	7/29/24
com_hvac_ann_32	resistance heat+chiller	resistance heat+chiller	Electricity	DOAS+Zone terminal equipment_Electric Resistance_District	0	com_cooling_ts_5	com_heating_ts_7	7/29/24
com_hvac_ann_32	resistance heat+chiller	resistance heat+chiller	Electricity	Central Single-zone RTU_Electric Resistance_District	0	com_cooling_ts_5	com_heating_ts_7	7/29/24
com_hvac_ann_32	resistance heat+chiller	resistance heat+chiller	Electricity	Central Multi-zone VAV RTU_Electric Resistance_ACC	0	com_cooling_ts_5	com_heating_ts_7	7/29/24
com_hvac_ann_32	resistance heat+chiller	resistance heat+chiller	Electricity	Central Multi-zone VAV RTU_Electric Resistance_WCC	0	com_cooling_ts_5	com_heating_ts_7	7/29/24
com_hvac_ann_32	resistance heat+chiller	resistance heat+chiller	Electricity	Central Multi-zone VAV RTU_Electric Resistance_District	0	com_cooling_ts_5	com_heating_ts_7	7/29/24
com_hvac_ann_33	resistance heat+chiller	"resistance heat+chiller to Variable Speed HP RTU, Electric Backup"	Electricity	DOAS+Zone terminal equipment_Electric Resistance_ACC	1	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_33	resistance heat+chiller	"resistance heat+chiller to Variable Speed HP RTU, Electric Backup"	Electricity	DOAS+Zone terminal equipment_Electric Resistance_WCC	1	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_33	resistance heat+chiller	"resistance heat+chiller to Variable Speed HP RTU, Electric Backup"	Electricity	DOAS+Zone terminal equipment_Electric Resistance_District	1	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_33	resistance heat+chiller	"resistance heat+chiller to Variable Speed HP RTU, Electric Backup"	Electricity	Central Single-zone RTU_Electric Resistance_District	1	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_33	resistance heat+chiller	"resistance heat+chiller to Variable Speed HP RTU, Electric Backup"	Electricity	Central Multi-zone VAV RTU_Electric Resistance_ACC	1	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_33	resistance heat+chiller	"resistance heat+chiller to Variable Speed HP RTU, Electric Backup"	Electricity	Central Multi-zone VAV RTU_Electric Resistance_WCC	1	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_33	resistance heat+chiller	"resistance heat+chiller to Variable Speed HP RTU, Electric Backup"	Electricity	Central Multi-zone VAV RTU_Electric Resistance_District	1	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_34	resistance heat+chiller	"resistance heat+chiller to Variable Speed HP RTU, Electric Backup, Energy Recovery"	Electricity	DOAS+Zone terminal equipment_Electric Resistance_ACC	3	com_cooling_ts_2	com_heating_ts_3	7/29/24
com_hvac_ann_34	resistance heat+chiller	"resistance heat+chiller to Variable Speed HP RTU, Electric Backup, Energy Recovery"	Electricity	DOAS+Zone terminal equipment_Electric Resistance_WCC	3	com_cooling_ts_2	com_heating_ts_3	7/29/24
com_hvac_ann_34	resistance heat+chiller	"resistance heat+chiller to Variable Speed HP RTU, Electric Backup, Energy Recovery"	Electricity	DOAS+Zone terminal equipment_Electric Resistance_District	3	com_cooling_ts_2	com_heating_ts_3	7/29/24
com_hvac_ann_34	resistance heat+chiller	"resistance heat+chiller to Variable Speed HP RTU, Electric Backup, Energy Recovery"	Electricity	Central Single-zone RTU_Electric Resistance_District	3	com_cooling_ts_2	com_heating_ts_3	7/29/24
com_hvac_ann_34	resistance heat+chiller	"resistance heat+chiller to Variable Speed HP RTU, Electric Backup, Energy Recovery"	Electricity	Central Multi-zone VAV RTU_Electric Resistance_ACC	3	com_cooling_ts_2	com_heating_ts_3	7/29/24
com_hvac_ann_34	resistance heat+chiller	"resistance heat+chiller to Variable Speed HP RTU, Electric Backup, Energy Recovery"	Electricity	Central Multi-zone VAV RTU_Electric Resistance_WCC	3	com_cooling_ts_2	com_heating_ts_3	7/29/24
com_hvac_ann_34	resistance heat+chiller	"resistance heat+chiller to Variable Speed HP RTU, Electric Backup, Energy Recovery"	Electricity	Central Multi-zone VAV RTU_Electric Resistance_District	3	com_cooling_ts_2	com_heating_ts_3	7/29/24
com_hvac_ann_35	resistance heat+rtac	resistance heat+rtac	Electricity	None_Electric Resistance_None	0	com_cooling_ts_6	com_heating_ts_7	7/29/24
com_hvac_ann_35	resistance heat+rtac	resistance heat+rtac	Electricity	Central Single-zone RTU_Electric Resistance_Evaporative Cooling	0	com_cooling_ts_6	com_heating_ts_7	7/29/24
com_hvac_ann_35	resistance heat+rtac	resistance heat+rtac	Electricity	Central Single-zone RTU_Electric Resistance_DX	0	com_cooling_ts_6	com_heating_ts_7	7/29/24
com_hvac_ann_35	resistance heat+rtac	resistance heat+rtac	Electricity	Zone terminal equipment_Electric Resistance_DX	0	com_cooling_ts_6	com_heating_ts_7	7/29/24
com_hvac_ann_35	resistance heat+rtac	resistance heat+rtac	Electricity	Central Multi-zone VAV RTU_Electric Resistance_DX	0	com_cooling_ts_6	com_heating_ts_7	7/29/24
com_hvac_ann_36	resistance heat+rtac	"resistance heat+rtac to Variable Speed HP RTU, Electric Backup"	Electricity	None_Electric Resistance_None	1	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_36	resistance heat+rtac	"resistance heat+rtac to Variable Speed HP RTU, Electric Backup"	Electricity	Central Single-zone RTU_Electric Resistance_Evaporative Cooling	1	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_36	resistance heat+rtac	"resistance heat+rtac to Variable Speed HP RTU, Electric Backup"	Electricity	Central Single-zone RTU_Electric Resistance_DX	1	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_36	resistance heat+rtac	"resistance heat+rtac to Variable Speed HP RTU, Electric Backup"	Electricity	Zone terminal equipment_Electric Resistance_DX	1	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_36	resistance heat+rtac	"resistance heat+rtac to Variable Speed HP RTU, Electric Backup"	Electricity	Central Multi-zone VAV RTU_Electric Resistance_DX	1	com_cooling_ts_1	com_heating_ts_1	7/29/24
com_hvac_ann_37	resistance heat+rtac	"resistance heat+rtac to Variable Speed HP RTU, Electric Backup, Energy Recovery"	Electricity	None_Electric Resistance_None	3	com_cooling_ts_2	com_heating_ts_3	7/29/24
com_hvac_ann_37	resistance heat+rtac	"resistance heat+rtac to Variable Speed HP RTU, Electric Backup, Energy Recovery"	Electricity	Central Single-zone RTU_Electric Resistance_Evaporative Cooling	3	com_cooling_ts_2	com_heating_ts_3	7/29/24
com_hvac_ann_37	resistance heat+rtac	"resistance heat+rtac to Variable Speed HP RTU, Electric Backup, Energy Recovery"	Electricity	Central Single-zone RTU_Electric Resistance_DX	3	com_cooling_ts_2	com_heating_ts_3	7/29/24
com_hvac_ann_37	resistance heat+rtac	"resistance heat+rtac to Variable Speed HP RTU, Electric Backup, Energy Recovery"	Electricity	Zone terminal equipment_Electric Resistance_DX	3	com_cooling_ts_2	com_heating_ts_3	7/29/24
com_hvac_ann_37	resistance heat+rtac	"resistance heat+rtac to Variable Speed HP RTU, Electric Backup, Energy Recovery"	Electricity	Central Multi-zone VAV RTU_Electric Resistance_DX	3	com_cooling_ts_2	com_heating_ts_3	7/29/24
