sector	in.state	month	fuel	calibration_multiplier
com	ID	1	Electric	1.0407847197158953
com	ID	1	Natural Gas	0.9530570524055408
com	ID	2	Electric	0.996502722780764
com	ID	2	Natural Gas	0.8035434650811535
com	ID	3	Electric	1.03162258513847
com	ID	3	Natural Gas	0.9673805751240474
com	ID	4	Electric	1.1030744467178704
com	ID	4	Natural Gas	1.0593552470616543
com	ID	5	Electric	0.9526846321737645
com	ID	5	Natural Gas	1.1725840418892932
com	ID	6	Electric	0.8231131469055157
com	ID	6	Natural Gas	1.0182811117207176
com	ID	7	Electric	0.7716964637765195
com	ID	7	Natural Gas	0.9260574024019208
com	ID	8	Electric	0.8481288235712006
com	ID	8	Natural Gas	1.099630193089754
com	ID	9	Electric	1.014893885943133
com	ID	9	Natural Gas	1.1659772267722859
com	ID	10	Electric	1.1628726056697394
com	ID	10	Natural Gas	1.2643340710694981
com	ID	11	Electric	1.0219534982415386
com	ID	11	Natural Gas	0.9184006029721561
com	ID	12	Electric	0.9784952239783042
com	ID	12	Natural Gas	0.8345566859953033
com	IL	1	Electric	0.9675243108151543
com	IL	1	Natural Gas	0.9122263673092696
com	IL	2	Electric	1.0860788374557713
com	IL	2	Natural Gas	1.1242994413336989
com	IL	3	Electric	1.0600576398451373
com	IL	3	Natural Gas	1.2178943673729885
com	IL	4	Electric	1.0059768170044066
com	IL	4	Natural Gas	0.9930459052506009
com	IL	5	Electric	0.9590152488611032
com	IL	5	Natural Gas	1.4614701942417265
com	IL	6	Electric	0.9881885544135962
com	IL	6	Natural Gas	1.1448226832515656
com	IL	7	Electric	0.9965819540152209
com	IL	7	Natural Gas	1.1456341729006154
com	IL	8	Electric	0.9742286998867866
com	IL	8	Natural Gas	1.1296599516035346
com	IL	9	Electric	0.9879958654789958
com	IL	9	Natural Gas	1.2529208670030483
com	IL	10	Electric	1.0315110952781974
com	IL	10	Natural Gas	1.3167158880689112
com	IL	11	Electric	0.9563252781539635
com	IL	11	Natural Gas	0.8854018220293499
com	IL	12	Electric	1.0005366421488688
com	IL	12	Natural Gas	1.1822280783296717
com	IN	1	Electric	0.829729163111469
com	IN	1	Natural Gas	0.8913494664462089
com	IN	2	Electric	1.0255373466387145
com	IN	2	Natural Gas	1.1502422865473894
com	IN	3	Electric	0.9794426966360492
com	IN	3	Natural Gas	0.9090766300476563
com	IN	4	Electric	0.964776278416387
com	IN	4	Natural Gas	0.7489753001171755
com	IN	5	Electric	0.8870791109465672
com	IN	5	Natural Gas	0.9464339870008608
com	IN	6	Electric	0.9148401778482604
com	IN	6	Natural Gas	0.8068050730170204
com	IN	7	Electric	0.9216421465706384
com	IN	7	Natural Gas	0.7757747960171079
com	IN	8	Electric	0.9356347007468931
com	IN	8	Natural Gas	0.8303432801704277
com	IN	9	Electric	0.953157394302336
com	IN	9	Natural Gas	0.9740867654855674
com	IN	10	Electric	0.9826176518633053
com	IN	10	Natural Gas	1.1564083997171832
com	IN	11	Electric	0.9017473225826802
com	IN	11	Natural Gas	0.9181072553628488
com	IN	12	Electric	0.9066226745490032
com	IN	12	Natural Gas	1.1284095717863818
com	KS	1	Electric	0.9508233334892159
com	KS	1	Natural Gas	0.9900877199173422
com	KS	2	Electric	1.0458937993846245
com	KS	2	Natural Gas	1.1332184508400704
com	KS	3	Electric	1.0061191831382434
com	KS	3	Natural Gas	1.2475195212857124
com	KS	4	Electric	0.9859473659139402
