meas	Scout_end_use	original_ann	measure_ann	original_ts	measure_ts	sector	original_desc	measure_desc	original_desc_simple	measure_desc_simple
(C) ES HP FS (RTU, NG Ht.) & Env.	Cooling (Equip.)	com_hvac_ann_16	com_hvac_ann_39	com_cooling_ts_9	com_cooling_ts_10	com	NG RTU + RTAC or chiller	ASHP, ESTAR with env	RTAC or chiller	ASHP, ESTAR
(C) ES HP FS (RTU, NG Ht.) & Env.	Heating (Equip.)	com_hvac_ann_16	com_hvac_ann_39	com_heating_ts_8	com_heating_ts_10	com	NG RTU + RTAC or chiller	ASHP, ESTAR with env	fossil	ASHP, ESTAR
(C) ES HP FS (RTU, NG Ht.) & Env.	Ventilation	com_hvac_ann_16	com_hvac_ann_39	com_ventilation_5	com_ventilation_9	com	NG RTU + RTAC or chiller	ASHP, ESTAR with env	RTAC or chiller	ASHP, ESTAR
(C) ES HP FS (RTU, Oth. Fs. Ht.) & Env.	Cooling (Equip.)	com_hvac_ann_28	com_hvac_ann_38	com_cooling_ts_9	com_cooling_ts_10	com	Other fossil RTU + RTAC or chiller	ASHP, ESTAR with env	RTAC or chiller	ASHP, ESTAR
(C) ES HP FS (RTU, Oth. Fs. Ht.) & Env.	Heating (Equip.)	com_hvac_ann_28	com_hvac_ann_38	com_heating_ts_8	com_heating_ts_10	com	Other fossil RTU + RTAC or chiller	ASHP, ESTAR with env	fossil	ASHP, ESTAR
(C) ES HP FS (RTU, Oth. Fs. Ht.) & Env.	Ventilation	com_hvac_ann_28	com_hvac_ann_38	com_ventilation_5	com_ventilation_9	com	Other fossil RTU + RTAC or chiller	ASHP, ESTAR with env	RTAC or chiller	ASHP, ESTAR
(C) ES HP Pt. FS (RTU, NG Ht.) & Env.	Cooling (Equip.)	com_hvac_ann_16	com_hvac_ann_19	com_cooling_ts_9	com_cooling_ts_1	com	NG RTU + RTAC or chiller	ASHP, ESTAR with env	RTAC or chiller	ASHP, ESTAR
(C) ES HP Pt. FS (RTU, NG Ht.) & Env.	Heating (Equip.)	com_hvac_ann_16	com_hvac_ann_19	com_heating_ts_8	com_heating_ts_2	com	NG RTU + RTAC or chiller	ASHP, ESTAR with env	fossil	ASHP, ESTAR
(C) ES HP Pt. FS (RTU, NG Ht.) & Env.	Ventilation	com_hvac_ann_16	com_hvac_ann_19	com_ventilation_5	com_ventilation_3	com	NG RTU + RTAC or chiller	ASHP, ESTAR with env	RTAC or chiller	ASHP, ESTAR
(C) ES HP Pt. FS (RTU, Oth. Fs. Ht.) & Env.	Cooling (Equip.)	com_hvac_ann_28	com_hvac_ann_31	com_cooling_ts_9	com_cooling_ts_1	com	Other fossil RTU + RTAC or chiller	ASHP, ESTAR with env	RTAC or chiller	ASHP, ESTAR
(C) ES HP Pt. FS (RTU, Oth. Fs. Ht.) & Env.	Heating (Equip.)	com_hvac_ann_28	com_hvac_ann_31	com_heating_ts_8	com_heating_ts_2	com	Other fossil RTU + RTAC or chiller	ASHP, ESTAR with env	fossil	ASHP, ESTAR
(C) ES HP Pt. FS (RTU, Oth. Fs. Ht.) & Env.	Ventilation	com_hvac_ann_28	com_hvac_ann_31	com_ventilation_5	com_ventilation_3	com	Other fossil RTU + RTAC or chiller	ASHP, ESTAR with env	RTAC or chiller	ASHP, ESTAR
(C) ESTAR HP FS (NG Furnace)	Cooling (Equip.)	com_hvac_ann_12	com_hvac_ann_12	com_cooling_ts_7	com_cooling_ts_7	com	NG furnace + central or room AC	ASHP, ESTAR	AC	ASHP, ESTAR
(C) ESTAR HP FS (NG Furnace)	Heating (Equip.)	com_hvac_ann_12	com_hvac_ann_12	com_heating_ts_8	com_heating_ts_1	com	NG furnace + central or room AC	ASHP, ESTAR	fossil	ASHP, ESTAR
(C) ESTAR HP FS (NG Furnace)	Ventilation	com_hvac_ann_12	com_hvac_ann_12	com_ventilation_6	com_ventilation_6	com	NG furnace + central or room AC	ASHP, ESTAR	AC	ASHP, ESTAR
(C) ESTAR HP FS (Other Fossil Furnace)	Cooling (Equip.)	com_hvac_ann_24	com_hvac_ann_24	com_cooling_ts_7	com_cooling_ts_7	com	Other fossil furnace + central or room AC	ASHP, ESTAR	AC	ASHP, ESTAR
(C) ESTAR HP FS (Other Fossil Furnace)	Heating (Equip.)	com_hvac_ann_24	com_hvac_ann_24	com_heating_ts_8	com_heating_ts_1	com	Other fossil furnace + central or room AC	ASHP, ESTAR	fossil	ASHP, ESTAR
(C) ESTAR HP FS (Other Fossil Furnace)	Ventilation	com_hvac_ann_24	com_hvac_ann_24	com_ventilation_6	com_ventilation_6	com	Other fossil furnace + central or room AC	ASHP, ESTAR	AC	ASHP, ESTAR
(C) ESTAR HP FS (RTU, NG Heat)	Cooling (Equip.)	com_hvac_ann_16	com_hvac_ann_17	com_cooling_ts_9	com_cooling_ts_1	com	NG RTU + RTAC or chiller	ASHP, ESTAR	RTAC or chiller	ASHP, ESTAR
(C) ESTAR HP FS (RTU, NG Heat)	Heating (Equip.)	com_hvac_ann_16	com_hvac_ann_17	com_heating_ts_8	com_heating_ts_1	com	NG RTU + RTAC or chiller	ASHP, ESTAR	fossil	ASHP, ESTAR
(C) ESTAR HP FS (RTU, NG Heat)	Ventilation	com_hvac_ann_16	com_hvac_ann_17	com_ventilation_5	com_ventilation_1	com	NG RTU + RTAC or chiller	ASHP, ESTAR	RTAC or chiller	ASHP, ESTAR
(C) ESTAR HP FS (RTU, Other Fossil Heat)	Cooling (Equip.)	com_hvac_ann_28	com_hvac_ann_29	com_cooling_ts_9	com_cooling_ts_1	com	Other fossil RTU + RTAC or chiller	ASHP, ESTAR	RTAC or chiller	ASHP, ESTAR
(C) ESTAR HP FS (RTU, Other Fossil Heat)	Heating (Equip.)	com_hvac_ann_28	com_hvac_ann_29	com_heating_ts_8	com_heating_ts_1	com	Other fossil RTU + RTAC or chiller	ASHP, ESTAR	fossil	ASHP, ESTAR
(C) ESTAR HP FS (RTU, Other Fossil Heat)	Ventilation	com_hvac_ann_28	com_hvac_ann_29	com_ventilation_5	com_ventilation_1	com	Other fossil RTU + RTAC or chiller	ASHP, ESTAR	RTAC or chiller	ASHP, ESTAR
(C) ESTAR HP Pt. FS (NG Furnace)	Cooling (Equip.)	com_hvac_ann_12	com_hvac_ann_12	com_cooling_ts_7	com_cooling_ts_7	com	NG furnace + central or room AC	ASHP, ESTAR with fossil backup	AC	ASHP, ESTAR with fossil backup
