in.census_division_name,Floor area (sf),year,Scout building type,N_bldgs_CDIV
East North Central,3297736572,2030,Mercantile and Service,253108.9228
West North Central,2027270752,2030,Mercantile and Service,155597.7274
South Atlantic,3425279053,2030,Mercantile and Service,262898.1037
East South Central,1147631225,2030,Mercantile and Service,88083.35558
West South Central,2570445312,2030,Mercantile and Service,197287.6334
Mountain,1815032348,2030,Mercantile and Service,139307.9381
Pacific,2050033935,2030,Mercantile and Service,157344.8544
New England,586807983,2030,Warehouse,33872.1485
Middle Atlantic,2555436767,2030,Warehouse,147506.7418
East North Central,4323748046,2030,Warehouse,249578.4654
West North Central,1800303101,2030,Warehouse,103918.3783
South Atlantic,4072026611,2030,Warehouse,235048.4214
East South Central,1654380982,2030,Warehouse,95495.3578
West South Central,2830695556,2030,Warehouse,163395.4258
Mountain,1445545898,2030,Warehouse,83440.83029
Pacific,3645905030,2030,Warehouse,210451.5279
New England,437223175,2030,Other,31642.67035
Middle Atlantic,959075073,2030,Other,69410.08188
East North Central,1091422729,2030,Other,78988.33274
West North Central,575483703,2030,Other,41648.84697
South Atlantic,1434011841,2030,Other,103782.1565
East South Central,320866638,2030,Other,23221.7271
West South Central,760097351,2030,Other,55009.68679
Mountain,410983764,2030,Other,29743.67442
Pacific,634778808,2030,Other,45940.14617
New England,523653381,2031,Assembly,38412.72474
Middle Atlantic,1236300537,2031,Assembly,90689.13513
East North Central,2529156250,2031,Assembly,185526.8893
West North Central,1097402099,2031,Assembly,80500.20546
South Atlantic,3282334717,2031,Assembly,240776.4842
East South Central,869088562,2031,Assembly,63752.20885
West South Central,1657675171,2031,Assembly,121599.1768
Mountain,1061421021,2031,Assembly,77860.80449
Pacific,1603361572,2031,Assembly,117614.9892
New England,716943542,2031,Education,22034.20268
Middle Atlantic,2140710694,2031,Education,65791.58684
East North Central,2738838623,2031,Education,84174.16684
West North Central,1694798828,2031,Education,52087.14311
South Atlantic,2793618164,2031,Education,85857.73526
East South Central,953663391,2031,Education,29309.43821
West South Central,2237416504,2031,Education,68763.69732
Mountain,1077788818,2031,Education,33124.25019
Pacific,1609898926,2031,Education,49477.8698
New England,91319634,2031,Food Sales ,30439.878
Middle Atlantic,58850342,2031,Food Sales ,19616.78067
East North Central,296539978,2031,Food Sales ,98846.65933
West North Central,134667587,2031,Food Sales ,44889.19567
South Atlantic,95389832,2031,Food Sales ,31796.61067
East South Central,41711086,2031,Food Sales ,13903.69533
West South Central,142143494,2031,Food Sales ,47381.16467
Mountain,107324051,2031,Food Sales ,35774.68367
Pacific,130170685,2031,Food Sales ,43390.22833
New England,65469986,2031,Food Services ,15193.45667
Middle Atlantic,82606720,2031,Food Services ,19170.33586
East North Central,228231873,2031,Food Services ,52965.20259
West North Central,69432137,2031,Food Services ,16112.94319
South Atlantic,294375397,2031,Food Services ,68314.96555
East South Central,118790214,2031,Food Services ,27567.34924
West South Central,217840119,2031,Food Services ,50553.61411
Mountain,235067887,2031,Food Services ,54551.61935
Pacific,215206360,2031,Food Services ,49942.40422
New England,104540855,2031,Health Care,3890.154507
Middle Atlantic,316552216,2031,Health Care,11779.48114
East North Central,687567994,2031,Health Care,25585.65004
West North Central,168338120,2031,Health Care,6264.166256
South Atlantic,496076141,2031,Health Care,18459.89145
East South Central,133676559,2031,Health Care,4974.346809
West South Central,279219177,2031,Health Care,10390.25116
Mountain,230264069,2031,Health Care,8568.542948
Pacific,395527466,2031,Health Care,14718.29319
New England,377994568,2031,Lodging,6540.641407
Middle Atlantic,1079449829,2031,Lodging,18678.29553
East North Central,1318034057,2031,Lodging,22806.64554
West North Central,703079468,2031,Lodging,12165.75864
South Atlantic,1655886109,2031,Lodging,28652.67961
East South Central,404976074,2031,Lodging,7007.516782
West South Central,940728393,2031,Lodging,16277.92461
Mountain,848911194,2031,Lodging,14689.16269
Pacific,1089513549,2031,Lodging,18852.43344
New England,353989380,2031,Office,20479.77248
Middle Atlantic,2236925781,2031,Office,129415.5521
East North Central,1721025635,2031,Office,99568.56172
West North Central,798698608,2031,Office,46208.06921
South Atlantic,2724884521,2031,Office,157646.0147
East South Central,330699646,2031,Office,19132.36354
West South Central,1177406738,2031,Office,68117.9252
Mountain,1046099854,2031,Office,60521.27044
Pacific,1597746949,2031,Office,92436.37194
New England,264514801,2031,Office,15303.29227
Middle Atlantic,1070291992,2031,Office,61920.88723
East North Central,1608580566,2031,Office,93063.14218
West North Central,906643920,2031,Office,52453.1589
South Atlantic,1383841308,2031,Office,80061.03215
East South Central,413929871,2031,Office,23947.58165
West South Central,1216316162,2031,Office,70368.9988
Mountain,849361389,2031,Office,49139.12388
Pacific,1098974610,2031,Office,63580.29716
New England,755678283,2031,Mercantile and Service,58000.05913
Middle Atlantic,2220890381,2031,Mercantile and Service,170458.4825
East North Central,3325386719,2031,Mercantile and Service,255231.1356
West North Central,2052418945,2031,Mercantile and Service,157527.9095
South Atlantic,3474636963,2031,Mercantile and Service,266686.4376
East South Central,1161750854,2031,Mercantile and Service,89167.06982
West South Central,2605075439,2031,Mercantile and Service,199945.5759
Mountain,1840615845,2031,Mercantile and Service,141271.5308
Pacific,2078032715,2031,Mercantile and Service,159493.8257
New England,598050171,2031,Warehouse,34521.07809
Middle Atlantic,2605051514,2031,Warehouse,150370.6396
East North Central,4402722168,2031,Warehouse,254137.066
West North Central,1837281738,2031,Warehouse,106052.8856
South Atlantic,4159388183,2031,Warehouse,240091.1683
East South Central,1689499878,2031,Warehouse,97522.51574
West South Central,2891055664,2031,Warehouse,166879.5749
Mountain,1479855468,2031,Warehouse,85421.27173
Pacific,3708803223,2031,Warehouse,214082.1822
New England,443712555,2031,Other,32112.31909
Middle Atlantic,971802246,2031,Other,70331.17153
East North Central,1104933228,2031,Other,79966.11317
West North Central,583246948,2031,Other,42210.68773
South Atlantic,1461771484,2031,Other,105791.1745
East South Central,326027679,2031,Other,23595.24143
West South Central,772400025,2031,Other,55900.05464
Mountain,418098358,2031,Other,30258.57108
Pacific,645281739,2031,Other,46700.2632
New England,526161926,2032,Assembly,38596.73969
Middle Atlantic,1241664673,2032,Assembly,91082.62266
East North Central,2551140625,2032,Assembly,187139.5587
West North Central,1108988037,2032,Assembly,81350.09484
South Atlantic,3321423340,2032,Assembly,243643.8399
East South Central,877681946,2032,Assembly,64382.57868
West South Central,1673359497,2032,Assembly,122749.7045
Mountain,1074808960,2032,Assembly,78842.8801
Pacific,1620347656,2032,Assembly,118861.0076
New England,725708008,2032,Education,22303.56562
Middle Atlantic,2164030517,2032,Education,66508.28722
East North Central,2767614014,2032,Education,85058.53605
West North Central,1721275635,2032,Education,52900.86873
South Atlantic,2836306885,2032,Education,87169.71016
East South Central,966446656,2032,Education,29702.31301
West South Central,2273465332,2032,Education,69871.6049
Mountain,1094282227,2032,Education,33631.1508
Pacific,1631075927,2032,Education,50128.7137
New England,92133637,2032,Food Sales ,30711.21233
Middle Atlantic,59368241,2032,Food Sales ,19789.41367
East North Central,298538360,2032,Food Sales ,99512.78667
West North Central,136103256,2032,Food Sales ,45367.752
South Atlantic,96548462,2032,Food Sales ,32182.82067
East South Central,42107914,2032,Food Sales ,14035.97133
West South Central,143789581,2032,Food Sales ,47929.86033
Mountain,108642654,2032,Food Sales ,36214.218
Pacific,131758651,2032,Food Sales ,43919.55033
New England,66053566,2032,Food Services ,15328.88662
Middle Atlantic,83333680,2032,Food Services ,19339.03966
East North Central,229769928,2032,Food Services ,53322.13519
West North Central,70172348,2032,Food Services ,16284.72211
South Atlantic,297950958,2032,Food Services ,69144.73709
East South Central,119920357,2032,Food Services ,27829.61871
West South Central,220362809,2032,Food Services ,51139.0485
Mountain,237955978,2032,Food Services ,55221.85143
Pacific,217831695,2032,Food Services ,50551.65918
New England,105871238,2032,Health Care,3939.660468
Middle Atlantic,321628571,2032,Health Care,11968.3815
East North Central,698573853,2032,Health Care,25995.19798
West North Central,170954910,2032,Health Care,6361.54175
South Atlantic,506843597,2032,Health Care,18860.56799
East South Central,135640351,2032,Health Care,5047.423065
West South Central,283233642,2032,Health Care,10539.63667
Mountain,235114334,2032,Health Care,8749.030091
Pacific,401958191,2032,Health Care,14957.59211
New England,383065491,2032,Lodging,6628.38629
Middle Atlantic,1097952393,2032,Lodging,18998.45525
East North Central,1342339355,2032,Lodging,23227.21306
West North Central,713501526,2032,Lodging,12346.09706
South Atlantic,1687382569,2032,Lodging,29197.67964
East South Central,412438385,2032,Lodging,7136.641125
West South Central,956104614,2032,Lodging,16543.98755
Mountain,862190613,2032,Lodging,14918.94356
Pacific,1105593994,2032,Lodging,19130.68194
New England,357248322,2032,Office,20668.31596
Middle Atlantic,2256949463,2032,Office,130574.0062
East North Central,1734449341,2032,Office,100345.1795
West North Central,807332336,2032,Office,46707.56664
South Atlantic,2763677246,2032,Office,159890.3368
East South Central,333837952,2032,Office,19313.92773
West South Central,1192568359,2032,Office,68995.08865
Mountain,1060037354,2032,Office,61327.61335
Pacific,1615370361,2032,Office,93455.96034
New England,267021667,2032,Office,15448.32499
Middle Atlantic,1080456054,2032,Office,62508.92091
East North Central,1622143066,2032,Office,93847.78978
West North Central,916774841,2032,Office,53039.27524
South Atlantic,1404337768,2032,Office,81246.83845
East South Central,418023682,2032,Office,24184.42581
West South Central,1232119140,2032,Office,71283.26746
Mountain,861183654,2032,Office,49823.09157
Pacific,1111538575,2032,Office,64307.1753
New England,763275146,2032,Mercantile and Service,58583.13596
Middle Atlantic,2244489990,2032,Mercantile and Service,172269.8072
East North Central,3352692627,2032,Mercantile and Service,257326.9273
West North Central,2077569580,2032,Mercantile and Service,159458.279
South Atlantic,3524163574,2032,Mercantile and Service,270487.7198
East South Central,1175855469,2032,Mercantile and Service,90249.6317
West South Central,2639777832,2032,Mercantile and Service,202609.065
Mountain,1866281860,2032,Mercantile and Service,143241.4569
Pacific,2106106445,2032,Mercantile and Service,161648.5495
New England,609401733,2032,Warehouse,35176.32104
Middle Atlantic,2655159424,2032,Warehouse,153263.0041
East North Central,4482399902,2032,Warehouse,258736.2809
West North Central,1874661010,2032,Warehouse,108210.5185
South Atlantic,4247753906,2032,Warehouse,245191.8775
East South Central,1725017090,2032,Warehouse,99572.66556
West South Central,2952104004,2032,Warehouse,170403.4507
Mountain,1514608033,2032,Warehouse,87427.28405
Pacific,3772197510,2032,Warehouse,217741.4724
New England,450233612,2032,Other,32584.26035
Middle Atlantic,984559082,2032,Other,71254.40794
East North Central,1118451660,2032,Other,80944.46773
West North Central,591031311,2032,Other,42774.05684
South Atlantic,1489805542,2032,Other,107820.0524
East South Central,331222474,2032,Other,23971.19859
West South Central,784784668,2032,Other,56796.35474
Mountain,425269501,2032,Other,30777.56029
Pacific,655859191,2032,Other,47465.77346
New England,528617187,2033,Assembly,38776.84597
Middle Atlantic,1246888061,2033,Assembly,91465.7856
East North Central,2573128418,2033,Assembly,188752.4787
West North Central,1120629395,2033,Assembly,82204.04957
South Atlantic,3360794190,2033,Assembly,246531.8984
East South Central,886303833,2033,Assembly,65015.03936
West South Central,1689079468,2033,Assembly,123902.8469
Mountain,1088307617,2033,Assembly,79833.07746
Pacific,1637416138,2033,Assembly,120113.0704
New England,734540100,2033,Education,22575.00694
Middle Atlantic,2187477295,2033,Education,67228.88937
East North Central,2796523682,2033,Education,85947.03207
West North Central,1748062988,2033,Education,53724.13853
South Atlantic,2879483155,2033,Education,88496.66916
East South Central,979349305,2033,Education,30098.8569
West South Central,2309953369,2033,Education,70993.01092
Mountain,1110964233,2033,Education,34143.84766
Pacific,1652444214,2033,Education,50785.43649
New England,92948280,2033,Food Sales ,30982.76
Middle Atlantic,59886387,2033,Food Sales ,19962.129
East North Central,300521850,2033,Food Sales ,100173.95
West North Central,137546097,2033,Food Sales ,45848.699
South Atlantic,97715889,2033,Food Sales ,32571.963
East South Central,42505695,2033,Food Sales ,14168.565
West South Central,145446671,2033,Food Sales ,48482.22367
Mountain,109971550,2033,Food Sales ,36657.18333
Pacific,133358811,2033,Food Sales ,44452.937
New England,66637612,2033,Food Services ,15464.42473
Middle Atlantic,84060989,2033,Food Services ,19507.82445
East North Central,231296524,2033,Food Services ,53676.40852
West North Central,70916244,2033,Food Services ,16457.3562
South Atlantic,301553681,2033,Food Services ,69980.81205
East South Central,121053215,2033,Food Services ,28092.51825
West South Central,222902359,2033,Food Services ,51728.39555
Mountain,240866608,2033,Food Services ,55897.31409
Pacific,220477173,2033,Food Services ,51165.58867
New England,107212860,2033,Health Care,3989.584651
Middle Atlantic,326766418,2033,Health Care,12159.57009
East North Central,709712646,2033,Health Care,26409.69264
West North Central,173602264,2033,Health Care,6460.054586
South Atlantic,517780762,2033,Health Care,19267.5597
East South Central,137625412,2033,Health Care,5121.29078
West South Central,287290222,2033,Health Care,10690.58936
Mountain,240039520,2033,Health Care,8932.30518
Pacific,408468017,2033,Health Care,15199.83453
New England,388183746,2033,Lodging,6716.950183
Middle Atlantic,1116695312,2033,Lodging,19322.77396
East North Central,1366981323,2033,Lodging,23653.60617
West North Central,724037659,2033,Lodging,12528.40938
South Atlantic,1719326416,2033,Lodging,29750.42104
East South Central,420003052,2033,Lodging,7267.536588
West South Central,971670044,2033,Lodging,16813.32448
Mountain,875618957,2033,Lodging,15151.30135
Pacific,1121848877,2033,Lodging,19411.94884
New England,360512207,2033,Office,20857.14542
Middle Atlantic,2276983398,2033,Office,131733.0535
East North Central,1747826416,2033,Office,101119.0995
West North Central,816010315,2033,Office,47209.62417
South Atlantic,2802860107,2033,Office,162157.2299
East South Central,336983002,2033,Office,19495.88208
West South Central,1207860962,2033,Office,69879.82997
Mountain,1074099243,2033,Office,62141.15269
Pacific,1633090943,2033,Office,94481.17044
New England,269533875,2033,Office,15593.66678
Middle Atlantic,1090636840,2033,Office,63097.92214
East North Central,1635681763,2033,Office,94631.06026
West North Central,926963440,2033,Office,53628.72848
South Atlantic,1425047852,2033,Office,82445.0038
East South Central,422129517,2033,Office,24421.96561
West South Central,1248060913,2033,Office,72205.56599
Mountain,873116761,2033,Office,50513.47193
Pacific,1124179077,2033,Office,65038.48144
New England,770897522,2033,Mercantile and Service,59168.17098
Middle Atlantic,2268186035,2033,Mercantile and Service,174088.5336
East North Central,3379941162,2033,Mercantile and Service,259418.3155
West North Central,2102901611,2033,Mercantile and Service,161402.5711
South Atlantic,3574162109,2033,Mercantile and Service,274325.2232
East South Central,1190045776,2033,Mercantile and Service,91338.77064
West South Central,2674780029,2033,Mercantile and Service,205295.5647
Mountain,1892191040,2033,Mercantile and Service,145230.0465
Pacific,2134437011,2033,Mercantile and Service,163822.9861
New England,620915466,2033,Warehouse,35840.92494
Middle Atlantic,2705990967,2033,Warehouse,156197.1386
East North Central,4563170410,2033,Warehouse,263398.5737
West North Central,1912603882,2033,Warehouse,110400.684
South Atlantic,4337493164,2033,Warehouse,250371.8709
East South Central,1761082275,2033,Warehouse,101654.4459
West South Central,3014097168,2033,Warehouse,173981.8643
Mountain,1549935303,2033,Warehouse,89466.4699
Pacific,3836414551,2033,Warehouse,221448.2542
New England,456825287,2033,Other,33061.31237
Middle Atlantic,997430542,2033,Other,72185.93991
East North Central,1132074463,2033,Other,81930.37582
West North Central,598887817,2033,Other,43342.64708
South Atlantic,1518243652,2033,Other,109878.1724
East South Central,336479706,2033,Other,24351.67444
West South Central,797319336,2033,Other,57703.51243
Mountain,432533997,2033,Other,31303.30565
Pacific,666567993,2033,Other,48240.78977
New England,530979675,2034,Assembly,38950.14687
Middle Atlantic,1251877686,2034,Assembly,91831.80079
East North Central,2594930909,2034,Assembly,190351.8059
West North Central,1132244751,2034,Assembly,83056.09692
South Atlantic,3400204590,2034,Assembly,249422.8582
East South Central,894889648,2034,Assembly,65644.85397
West South Central,1704712036,2034,Assembly,125049.5778
Mountain,1101838990,2034,Assembly,80825.67471
Pacific,1654448120,2034,Assembly,121362.4557
New England,743386779,2034,Education,22846.89658
Middle Atlantic,2210892334,2034,Education,67948.51607
East North Central,2825364746,2034,Education,86833.41965
West North Central,1775037231,2034,Education,54553.15212
South Atlantic,2922942139,2034,Education,89832.31695
East South Central,992301269,2034,Education,30496.91642
West South Central,2346716552,2034,Education,72122.87314
Mountain,1127755981,2034,Education,34659.91727
Pacific,1673884887,2034,Education,51444.38397
New England,93756775,2034,Food Sales ,31252.25833
Middle Atlantic,60400387,2034,Food Sales ,20133.46233
East North Central,302468231,2034,Food Sales ,100822.7437
West North Central,138986114,2034,Food Sales ,46328.70467
South Atlantic,98885063,2034,Food Sales ,32961.68767
East South Central,42901337,2034,Food Sales ,14300.44567
West South Central,147104233,2034,Food Sales ,49034.74433
Mountain,111302819,2034,Food Sales ,37100.93967
Pacific,134961532,2034,Food Sales ,44987.17733
New England,67217247,2034,Food Services ,15598.93918
Middle Atlantic,84782478,2034,Food Services ,19675.25861
East North Central,232794556,2034,Food Services ,54024.05308
West North Central,71658692,2034,Food Services ,16629.65426
South Atlantic,305161774,2034,Food Services ,70818.13321
East South Central,122179978,2034,Food Services ,28354.00333
West South Central,225442642,2034,Food Services ,52317.9127
Mountain,243782441,2034,Food Services ,56573.9842
Pacific,223126892,2034,Food Services ,51780.50236
New England,108557998,2034,Health Care,4039.639672
Middle Atlantic,331942596,2034,Health Care,12352.18505
East North Central,720934204,2034,Health Care,26827.26713
West North Central,176267822,2034,Health Care,6559.244826
South Atlantic,528851990,2034,Health Care,19679.54014
East South Central,139621918,2034,Health Care,5195.584383
West South Central,291368409,2034,Health Care,10842.34608
Mountain,245023071,2034,Health Care,9117.752136
Pacific,415028046,2034,Health Care,15443.94509
New England,393321625,2034,Lodging,6805.853641
Middle Atlantic,1135600098,2034,Lodging,19649.89355
East North Central,1391864014,2034,Lodging,24084.16463
West North Central,734636352,2034,Lodging,12711.80422
South Atlantic,1751597534,2034,Lodging,30308.82539
East South Central,427640564,2034,Lodging,7399.692528
West South Central,987356140,2034,Lodging,17084.74936
Mountain,889134034,2034,Lodging,15385.15993
Pacific,1138198364,2034,Lodging,19694.85273
New England,363754639,2034,Office,21044.73373
Middle Atlantic,2296860595,2034,Office,132883.0328
East North Central,1761028076,2034,Office,101882.871
West North Central,824673401,2034,Office,47710.82008
South Atlantic,2842232666,2034,Office,164435.0978
East South Central,340110199,2034,Office,19676.80356
West South Central,1223197754,2034,Office,70767.12781
Mountain,1088208496,2034,Office,62957.43224
Pacific,1650790649,2034,Office,95505.17278
New England,272031769,2034,Office,15738.18044
Middle Atlantic,1100754395,2034,Office,63683.2652
East North Central,1649075683,2034,Office,95405.95479
West North Central,937142395,2034,Office,54217.62378
South Atlantic,1445870239,2034,Office,83649.66634
East South Central,426216644,2034,Office,24658.42307
West South Central,1264051880,2034,Office,73130.71059
Mountain,885098266,2034,Office,51206.65232
Pacific,1136814698,2034,Office,65769.50519
New England,778489014,2034,Mercantile and Service,59750.83558
Middle Atlantic,2291812988,2034,Mercantile and Service,175901.957
East North Central,3406883545,2034,Mercantile and Service,261486.2058
West North Central,2128262696,2034,Mercantile and Service,163349.0931
South Atlantic,3624376221,2034,Mercantile and Service,278179.2726
East South Central,1204235229,2034,Mercantile and Service,92427.84404
West South Central,2709889648,2034,Mercantile and Service,207990.3093
Mountain,1918207886,2034,Mercantile and Service,147226.8997
Pacific,2162870605,2034,Mercantile and Service,166005.3303
New England,632547974,2034,Warehouse,36512.38485
Middle Atlantic,2757357422,2034,Warehouse,159162.1498
East North Central,4644713379,2034,Warehouse,268105.4551
West North Central,1950977661,2034,Warehouse,112615.7226
South Atlantic,4428306153,2034,Warehouse,255613.843
East South Central,1797573608,2034,Warehouse,103760.8246
West South Central,3076826904,2034,Warehouse,177602.7948
Mountain,1585731446,2034,Warehouse,91532.72037
Pacific,3901184326,2034,Warehouse,225186.9413
New England,463455048,2034,Other,33541.12075
Middle Atlantic,1010345093,2034,Other,73120.59046
East North Central,1145720215,2034,Other,82917.94477
West North Central,606773621,2034,Other,43913.35767
South Atlantic,1546979736,2034,Other,111957.8573
East South Central,341775573,2034,Other,24734.94638
West South Central,809947510,2034,Other,58617.43733
Mountain,439861481,2034,Other,31833.60956
Pacific,677361023,2034,Other,49021.90182
New England,533183411,2035,Assembly,39111.80248
Middle Atlantic,1256477539,2035,Assembly,92169.22415
East North Central,2616227051,2035,Assembly,191913.9897
West North Central,1143694213,2035,Assembly,83895.97507
South Atlantic,3439235107,2035,Assembly,252285.9515
East South Central,903328796,2035,Assembly,66263.90978
West South Central,1720046020,2035,Assembly,126174.406
Mountain,1115267090,2035,Assembly,81810.69635
Pacific,1671239258,2035,Assembly,122594.1738
New England,752156494,2035,Education,23116.42084
Middle Atlantic,2234002686,2035,Education,68658.77866
East North Central,2853787842,2035,Education,87706.9616
West North Central,1801980224,2035,Education,55381.20528
South Atlantic,2966324463,2035,Education,91165.60872
East South Central,1005180237,2035,Education,30892.73251
West South Central,2383467285,2035,Education,73252.35274
Mountain,1144518799,2035,Education,35175.09777
Pacific,1695191895,2035,Education,52099.22344
New England,94547516,2035,Food Sales ,31515.83867
Middle Atlantic,60902779,2035,Food Sales ,20300.92633
East North Central,304339966,2035,Food Sales ,101446.6553
West North Central,140406128,2035,Food Sales ,46802.04267
South Atlantic,100043793,2035,Food Sales ,33347.931
East South Central,43289528,2035,Food Sales ,14429.84267
West South Central,148744125,2035,Food Sales ,49581.375
Mountain,112622726,2035,Food Sales ,37540.90867
Pacific,136550186,2035,Food Sales ,45516.72867
New England,67784157,2035,Food Services ,15730.50057
Middle Atlantic,85487671,2035,Food Services ,19838.91099
East North Central,234235123,2035,Food Services ,54358.36188
West North Central,72390823,2035,Food Services ,16799.55808
South Atlantic,308737640,2035,Food Services ,71647.97553
East South Central,123285515,2035,Food Services ,28610.56255
West South Central,227955841,2035,Food Services ,52901.14454
Mountain,246673386,2035,Food Services ,57244.87861
Pacific,225753357,2035,Food Services ,52390.01956
New England,109893288,2035,Health Care,4089.328231
Middle Atlantic,337116364,2035,Health Care,12544.71032
East North Central,732149964,2035,Health Care,27244.62587
West North Central,178929901,2035,Health Care,6658.305606
South Atlantic,539992676,2035,Health Care,20094.10524
East South Central,141612702,2035,Health Care,5269.66506
West South Central,295432373,2035,Health Care,10993.57354
Mountain,250035019,2035,Health Care,9304.255797
Pacific,421587432,2035,Health Care,15688.03172
New England,398430694,2035,Lodging,6894.258584
Middle Atlantic,1154527466,2035,Lodging,19977.40388
East North Central,1416816895,2035,Lodging,24515.93762
West North Central,745207337,2035,Lodging,12894.7196
South Atlantic,1783981323,2035,Lodging,30869.17935
East South Central,435298523,2035,Lodging,7532.202273
West South Central,1003041442,2035,Lodging,17356.1605
Mountain,902626281,2035,Lodging,15618.62346
Pacific,1154502564,2035,Lodging,19976.97299
New England,366930664,2035,Office,21228.48011
Middle Atlantic,2316296143,2035,Office,134007.4609
East North Central,1773835693,2035,Office,102623.8454
West North Central,833219666,2035,Office,48205.25741
South Atlantic,2881444825,2035,Office,166703.6859
East South Central,343177368,2035,Office,19854.25217
West South Central,1238427856,2035,Office,71648.25318
Mountain,1102230834,2035,Office,63768.68339
Pacific,1668265137,2035,Office,96516.14531
New England,274481629,2035,Office,15879.91513
Middle Atlantic,1110672241,2035,Office,64257.05424
East North Central,1662120483,2035,Office,96160.65126
West North Central,947195923,2035,Office,54799.26261
South Atlantic,1466626709,2035,Office,84850.51532
East South Central,430232239,2035,Office,24890.74211
West South Central,1279936402,2035,Office,74049.69691
Mountain,897018921,2035,Office,51896.31228
Pacific,1149305176,2035,Office,66492.1318
New England,785953430,2035,Mercantile and Service,60323.74681
Middle Atlantic,2315086914,2035,Mercantile and Service,177688.2847
East North Central,3433096436,2035,Mercantile and Service,263498.1059
West North Central,2153390137,2035,Mercantile and Service,165277.6824
South Atlantic,3674358643,2035,Mercantile and Service,282015.5393
East South Central,1218274780,2035,Mercantile and Service,93505.41211
West South Central,2744771728,2035,Mercantile and Service,210667.5898
Mountain,1944095581,2035,Mercantile and Service,149213.8403
Pacific,2191140869,2035,Mercantile and Service,168175.1386
New England,644221863,2035,Warehouse,37186.23339
Middle Atlantic,2808921386,2035,Warehouse,162138.5616
East North Central,4726459472,2035,Warehouse,272824.0613
West North Central,1989543702,2035,Warehouse,114841.8591
South Atlantic,4519651367,2035,Warehouse,260886.5365
East South Central,1834271606,2035,Warehouse,105879.1326
West South Central,3139917480,2035,Warehouse,181244.554
Mountain,1621803101,2035,Warehouse,93614.87414
Pacific,3966028320,2035,Warehouse,228929.9125
New England,470065826,2035,Other,34019.55529
Middle Atlantic,1023178100,2035,Other,74049.33951
East North Central,1159247558,2035,Other,83896.94424
West North Central,614613891,2035,Other,44480.77288
South Atlantic,1575824341,2035,Other,114045.396
East South Central,347068055,2035,Other,25117.97334
West South Central,822569702,2035,Other,59530.9293
Mountain,447197937,2035,Other,32364.56279
Pacific,688155029,2035,Other,49803.08451
New England,535156433,2036,Assembly,39256.534
Middle Atlantic,1260518676,2036,Assembly,92465.66277
East North Central,2636661621,2036,Assembly,193412.9727
West North Central,1154821899,2036,Assembly,84712.24926
South Atlantic,3477416504,2036,Assembly,255086.7575
East South Central,911498413,2036,Assembly,66863.19408
West South Central,1734848022,2036,Assembly,127260.2106
Mountain,1128439698,2036,Assembly,82776.9763
Pacific,1687561890,2036,Assembly,123791.5245
New England,760746460,2036,Education,23380.42078
Middle Atlantic,2256503907,2036,Education,69350.32051
East North Central,2881404785,2036,Education,88555.72762
West North Central,1828644531,2036,Education,56200.69344
South Atlantic,3009223388,2036,Education,92484.04392
East South Central,1017848815,2036,Education,31282.08258
West South Central,2419877930,2036,Education,74371.38022
Mountain,1161095704,2036,Education,35684.5645
Pacific,1716133300,2036,Education,52742.82665
New England,95307670,2036,Food Sales ,31769.22333
Middle Atlantic,61385285,2036,Food Sales ,20461.76167
East North Central,306095887,2036,Food Sales ,102031.9623
West North Central,141787018,2036,Food Sales ,47262.33933
South Atlantic,101178436,2036,Food Sales ,33726.14533
East South Central,43664382,2036,Food Sales ,14554.794
West South Central,150346069,2036,Food Sales ,50115.35633
Mountain,113915901,2036,Food Sales ,37971.967
Pacific,138106125,2036,Food Sales ,46035.375
New England,68329139,2036,Food Services ,15856.97319
Middle Atlantic,86164947,2036,Food Services ,19996.08475
East North Central,235586563,2036,Food Services ,54671.98719
West North Central,73102790,2036,Food Services ,16964.78249
South Atlantic,312239166,2036,Food Services ,72460.56595
East South Central,124353073,2036,Food Services ,28858.30808
West South Central,230410888,2036,Food Services ,53470.88118
Mountain,249505783,2036,Food Services ,57902.18593
Pacific,228325729,2036,Food Services ,52986.98352
New England,111203698,2036,Health Care,4138.09096
Middle Atlantic,342241425,2036,Health Care,12735.42312
East North Central,743259338,2036,Health Care,27658.02579
West North Central,181563996,2036,Health Care,6756.32505
South Atlantic,551127991,2036,Health Care,20508.47048
East South Central,143578338,2036,Health Care,5342.809935
West South Central,299441589,2036,Health Care,11142.76373
Mountain,255040756,2036,Health Care,9490.528334
Pacific,428088105,2036,Health Care,15929.93353
New England,403456299,2036,Lodging,6981.219305
Middle Atlantic,1173318237,2036,Lodging,20302.5506
East North Central,1441644531,2036,Lodging,24945.54343
West North Central,755648376,2036,Lodging,13075.38646
South Atlantic,1816231445,2036,Lodging,31427.22039
East South Central,442916840,2036,Lodging,7664.026071
West South Central,1018588074,2036,Lodging,17625.17215
Mountain,915971740,2036,Lodging,15849.54705
Pacific,1170602906,2036,Lodging,20255.56579
New England,369990418,2036,Office,21405.49973
Middle Atlantic,2334975586,2036,Office,135088.1451
East North Central,1786008667,2036,Office,103328.1031
West North Central,841535584,2036,Office,48686.36819
South Atlantic,2920102051,2036,Office,168940.1688
East South Central,346137909,2036,Office,20025.5319
West South Central,1253382202,2036,Office,72513.42491
Mountain,1116015503,2036,Office,64566.18439
Pacific,1685287232,2036,Office,97500.945
New England,276846191,2036,Office,16016.71497
