meas	Scout_end_use	original_ann	measure_ann	original_ts	measure_ts	sector	original_desc	measure_desc	original_desc_simple	measure_desc_simple
(C) Best HP Pt. FS (RTU, Other Fossil Heat)	Heating (Equip.)	com_hvac_ann_28	com_hvac_ann_31	com_heating_ts_8	com_heating_ts_2	com	other fossil rtu+rtac or chiller	Best HP, fossil backup	other fossil rtu+rtac or chiller	Best HP, fossil backup
(C) Best HP Pt. FS (RTU, Other Fossil Heat)	Ventilation	com_hvac_ann_28	com_hvac_ann_31	com_ventilation_5	com_ventilation_3	com	other fossil rtu+rtac or chiller	Best HP, fossil backup	other fossil rtu+rtac or chiller	Best HP, fossil backup
(C) Best HPWH FS	Water Heating	com_wh_ann_1	com_wh_ann_1	com_wh_ts_1	com_wh_ts_1	com	Fossil water heater	Best HPWH	Fossil water heater	Best HPWH
(C) Best HPWH TS	Water Heating	com_wh_ann_2	com_wh_ann_2	com_wh_ts_1	com_wh_ts_1	com	Resistance water heater	Best HPWH	Resistance water heater	Best HPWH
(C) Best Lighting	Lighting	com_light_ann_1	com_light_ann_1	com_light_ts_1	com_light_ts_1	com	Com lighting	Best lighting	Com lighting	Best lighting
(C) Best Plug Loads	Computers and Electronics	com_misc_ann_1	com_misc_ann_1	com_misc_ts_1	com_misc_ts_1	com	Computers and Electronics	Computers and Electronics	Computers and Electronics	Computers and Electronics
(C) Best Refrigeration	Refrigeration	com_refrig_ann_1	com_refrig_ann_1	com_refrig_ts_1	com_refrig_ts_1	com	Refrigeration	Refrigeration	Refrigeration	Refrigeration
(C) Brk. HP FS (NG Frn. AC) & Env.++	Cooling (Equip.)	com_hvac_ann_12	com_hvac_ann_12	com_cooling_ts_7	com_cooling_ts_7	com	ng furnace+cac&rac	Breakthrough HP & Env ++	ng furnace+cac&rac	Breakthrough HP
(C) Brk. HP FS (NG Frn. AC) & Env.++	Heating (Equip.)	com_hvac_ann_12	com_hvac_ann_12	com_heating_ts_8	com_heating_ts_8	com	ng furnace+cac&rac	Breakthrough HP & Env ++	ng furnace+cac&rac	Breakthrough HP
(C) Brk. HP FS (NG Frn. AC) & Env.++	Ventilation	com_hvac_ann_12	com_hvac_ann_12	com_ventilation_6	com_ventilation_6	com	ng furnace+cac&rac	Breakthrough HP & Env ++	ng furnace+cac&rac	Breakthrough HP
(C) Brk. HP FS (NG Furnace & AC)	Cooling (Equip.)	com_hvac_ann_12	com_hvac_ann_12	com_cooling_ts_7	com_cooling_ts_7	com	ng furnace+cac&rac	Breakthrough HP	ng furnace+cac&rac	Breakthrough HP
(C) Brk. HP FS (NG Furnace & AC)	Heating (Equip.)	com_hvac_ann_12	com_hvac_ann_12	com_heating_ts_8	com_heating_ts_5	com	ng furnace+cac&rac	Breakthrough HP	ng furnace+cac&rac	Breakthrough HP
(C) Brk. HP FS (NG Furnace & AC)	Ventilation	com_hvac_ann_12	com_hvac_ann_12	com_ventilation_6	com_ventilation_6	com	ng furnace+cac&rac	Breakthrough HP	ng furnace+cac&rac	Breakthrough HP
(C) Brk. HP FS (Oth. Fs. Frn. AC) & Env.++	Cooling (Equip.)	com_hvac_ann_24	com_hvac_ann_24	com_cooling_ts_7	com_cooling_ts_7	com	other fossil furnace+cac&rac	Breakthrough HP & Env ++	other fossil furnace+cac&rac	Breakthrough HP
(C) Brk. HP FS (Oth. Fs. Frn. AC) & Env.++	Heating (Equip.)	com_hvac_ann_24	com_hvac_ann_24	com_heating_ts_8	com_heating_ts_8	com	other fossil furnace+cac&rac	Breakthrough HP & Env ++	other fossil furnace+cac&rac	Breakthrough HP
(C) Brk. HP FS (Oth. Fs. Frn. AC) & Env.++	Ventilation	com_hvac_ann_24	com_hvac_ann_24	com_ventilation_6	com_ventilation_6	com	other fossil furnace+cac&rac	Breakthrough HP & Env ++	other fossil furnace+cac&rac	Breakthrough HP
(C) Brk. HP FS (Other Fossil Furnace & AC)	Cooling (Equip.)	com_hvac_ann_24	com_hvac_ann_24	com_cooling_ts_7	com_cooling_ts_7	com	other fossil furnace+cac&rac	Breakthrough HP	other fossil furnace+cac&rac	Breakthrough HP
(C) Brk. HP FS (Other Fossil Furnace & AC)	Heating (Equip.)	com_hvac_ann_24	com_hvac_ann_24	com_heating_ts_8	com_heating_ts_8	com	other fossil furnace+cac&rac	Breakthrough HP	other fossil furnace+cac&rac	Breakthrough HP
(C) Brk. HP FS (Other Fossil Furnace & AC)	Ventilation	com_hvac_ann_24	com_hvac_ann_24	com_ventilation_6	com_ventilation_6	com	other fossil furnace+cac&rac	Breakthrough HP	other fossil furnace+cac&rac	Breakthrough HP
(C) Bst. HP FS (NG Boiler) & Env.+	Cooling (Equip.)	com_hvac_ann_9	com_hvac_ann_40	com_cooling_ts_9	com_cooling_ts_11	com	ng boiler+rtac or chiller	Best HP boiler & Env +	ng boiler+rtac or chiller	Best HP boiler
(C) Bst. HP FS (NG Boiler) & Env.+	Heating (Equip.)	com_hvac_ann_9	com_hvac_ann_40	com_heating_ts_9	com_heating_ts_11	com	ng boiler+rtac or chiller	Best HP boiler & Env +	ng boiler+rtac or chiller	Best HP boiler
(C) Bst. HP FS (NG Boiler) & Env.+	Ventilation	com_hvac_ann_9	com_hvac_ann_40	com_ventilation_4	com_ventilation_10	com	ng boiler+rtac or chiller	Best HP boiler & Env +	ng boiler+rtac or chiller	Best HP boiler
(C) Bst. HP FS (RTU, NG Ht.) & Env.+	Cooling (Equip.)	com_hvac_ann_16	com_hvac_ann_18	com_cooling_ts_9	com_cooling_ts_3	com	ng rtu+rtac or chiller	Best HP & Env +	ng rtu+rtac or chiller	Best HP
(C) Bst. HP FS (RTU, NG Ht.) & Env.+	Heating (Equip.)	com_hvac_ann_16	com_hvac_ann_18	com_heating_ts_8	com_heating_ts_3	com	ng rtu+rtac or chiller	Best HP & Env +	ng rtu+rtac or chiller	Best HP
(C) Bst. HP FS (RTU, NG Ht.) & Env.+	Ventilation	com_hvac_ann_16	com_hvac_ann_18	com_ventilation_5	com_ventilation_2	com	ng rtu+rtac or chiller	Best HP & Env +	ng rtu+rtac or chiller	Best HP
(C) Bst. HP FS (RTU, Oth. Fs. Ht.) & Env.+	Cooling (Equip.)	com_hvac_ann_28	com_hvac_ann_30	com_cooling_ts_9	com_cooling_ts_3	com	other fossil rtu+rtac or chiller	Best HP & Env +	other fossil rtu+rtac or chiller	Best HP
(C) Bst. HP FS (RTU, Oth. Fs. Ht.) & Env.+	Heating (Equip.)	com_hvac_ann_28	com_hvac_ann_30	com_heating_ts_8	com_heating_ts_3	com	other fossil rtu+rtac or chiller	Best HP & Env +	other fossil rtu+rtac or chiller	Best HP
(C) Bst. HP FS (RTU, Oth. Fs. Ht.) & Env.+	Ventilation	com_hvac_ann_28	com_hvac_ann_30	com_ventilation_5	com_ventilation_2	com	other fossil rtu+rtac or chiller	Best HP & Env +	other fossil rtu+rtac or chiller	Best HP
(C) ES HP FS (RTU, NG Ht.) & Env.	Cooling (Equip.)	com_hvac_ann_16	com_hvac_ann_39	com_cooling_ts_9	com_cooling_ts_10	com	ng rtu+rtac or chiller	ESTAR HP & Env	ng rtu+rtac or chiller	ESTAR HP
(C) ES HP FS (RTU, NG Ht.) & Env.	Heating (Equip.)	com_hvac_ann_16	com_hvac_ann_39	com_heating_ts_8	com_heating_ts_10	com	ng rtu+rtac or chiller	ESTAR HP & Env	ng rtu+rtac or chiller	ESTAR HP
(C) ES HP FS (RTU, NG Ht.) & Env.	Ventilation	com_hvac_ann_16	com_hvac_ann_39	com_ventilation_5	com_ventilation_9	com	ng rtu+rtac or chiller	ESTAR HP & Env	ng rtu+rtac or chiller	ESTAR HP
(C) ES HP FS (RTU, Oth. Fs. Ht.) & Env.	Cooling (Equip.)	com_hvac_ann_28	com_hvac_ann_38	com_cooling_ts_9	com_cooling_ts_10	com	other fossil rtu+rtac or chiller	ESTAR HP & Env	other fossil rtu+rtac or chiller	ESTAR HP
(C) ES HP FS (RTU, Oth. Fs. Ht.) & Env.	Heating (Equip.)	com_hvac_ann_28	com_hvac_ann_38	com_heating_ts_8	com_heating_ts_10	com	other fossil rtu+rtac or chiller	ESTAR HP & Env	other fossil rtu+rtac or chiller	ESTAR HP
(C) ES HP FS (RTU, Oth. Fs. Ht.) & Env.	Ventilation	com_hvac_ann_28	com_hvac_ann_38	com_ventilation_5	com_ventilation_9	com	other fossil rtu+rtac or chiller	ESTAR HP & Env	other fossil rtu+rtac or chiller	ESTAR HP
