in.census_division_name,in.comstock_building_type_group,in.state,sf,cdiv_share,Scout building type
New England,Food Service,RI,4596383.907,0.090988724,Food Services 
New England,Food Service,VT,1311403.338,0.025960172,Food Services 
South Atlantic,Healthcare,DE,13868248.7,0.0175896,Health Care
South Atlantic,Healthcare,DC,21246076.67,0.026947166,Health Care
South Atlantic,Healthcare,FL,283503839,0.359578152,Health Care
South Atlantic,Healthcare,GA,87716054.37,0.111253438,Health Care
South Atlantic,Healthcare,MD,46534944.02,0.059021949,Health Care
South Atlantic,Healthcare,NC,129861994.8,0.164708655,Health Care
South Atlantic,Healthcare,SC,69572686.95,0.08824155,Health Care
South Atlantic,Healthcare,VA,106026370.1,0.134477072,Health Care
South Atlantic,Healthcare,WV,30104337.4,0.038182418,Health Care
South Atlantic,Office,DE,48846695.94,0.018307741,Office
South Atlantic,Office,DC,148649021.3,0.05571365,Office
South Atlantic,Office,FL,745434655.3,0.279388895,Office
South Atlantic,Office,GA,366775463.5,0.137467437,Office
South Atlantic,Office,MD,332145606.2,0.124488167,Office
South Atlantic,Office,NC,381515250.7,0.142991909,Office
South Atlantic,Office,SC,178522630.8,0.066910279,Office
South Atlantic,Office,VA,404799273.5,0.15171876,Office
South Atlantic,Office,WV,61401180.52,0.023013161,Office
South Atlantic,Lodging,DE,11489278.31,0.010895639,Lodging
South Atlantic,Lodging,DC,43188228.76,0.040956738,Lodging
South Atlantic,Lodging,FL,517742412.3,0.490991202,Lodging
South Atlantic,Lodging,GA,114918242.8,0.108980537,Lodging
South Atlantic,Lodging,MD,51161654.78,0.048518185,Lodging
South Atlantic,Lodging,NC,71975480.65,0.068256583,Lodging
South Atlantic,Lodging,SC,117164418.1,0.111110655,Lodging
South Atlantic,Lodging,VA,112513405.5,0.106699955,Lodging
South Atlantic,Lodging,WV,14330971.08,0.013590505,Lodging
South Atlantic,Mercantile,DE,28252772.07,0.013921077,Mercantile and Service
South Atlantic,Mercantile,DC,15769738.22,0.007770273,Mercantile and Service
South Atlantic,Mercantile,FL,668487098.5,0.329385746,Mercantile and Service
South Atlantic,Mercantile,GA,311988683.1,0.153727163,Mercantile and Service
South Atlantic,Mercantile,MD,183707479.8,0.090518763,Mercantile and Service
South Atlantic,Mercantile,NC,321869134.3,0.158595588,Mercantile and Service
South Atlantic,Mercantile,SC,175719411.4,0.086582777,Mercantile and Service
South Atlantic,Mercantile,VA,262382812,0.129284706,Mercantile and Service
South Atlantic,Mercantile,WV,61319008.32,0.030213907,Mercantile and Service
South Atlantic,Warehouse and Storage,DE,33101305.99,0.009962345,Warehouse
South Atlantic,Warehouse and Storage,DC,9137423.994,0.002750048,Warehouse
South Atlantic,Warehouse and Storage,FL,924958571.2,0.278380454,Warehouse
South Atlantic,Warehouse and Storage,GA,772196513.6,0.232404372,Warehouse
South Atlantic,Warehouse and Storage,MD,289227639.4,0.087047489,Warehouse
South Atlantic,Warehouse and Storage,NC,608744447,0.183210968,Warehouse
South Atlantic,Warehouse and Storage,SC,294170331.7,0.088535068,Warehouse
South Atlantic,Warehouse and Storage,VA,339645367.6,0.102221477,Warehouse
South Atlantic,Warehouse and Storage,WV,51460340.02,0.015487778,Warehouse
South Atlantic,Education,DE,31043450.23,0.014951927,Education
South Atlantic,Education,DC,13923268.88,0.006706075,Education
South Atlantic,Education,FL,602360234.9,0.290123878,Education
South Atlantic,Education,GA,379021446,0.182553836,Education
South Atlantic,Education,MD,219650891.7,0.105793784,Education
South Atlantic,Education,NC,329305623.9,0.158608452,Education
South Atlantic,Education,SC,146053287,0.070345855,Education
South Atlantic,Education,VA,284281526.8,0.136922815,Education
South Atlantic,Education,WV,70577643.04,0.033993379,Education
South Atlantic,Food Service,DE,2613756.025,0.009398391,Food Services 
South Atlantic,Food Service,DC,1723574.478,0.006197529,Food Services 
South Atlantic,Food Service,FL,129371351.1,0.465185956,Food Services 
South Atlantic,Food Service,GA,32755335.75,0.117779725,Food Services 
South Atlantic,Food Service,MD,17533485.84,0.063045885,Food Services 
South Atlantic,Food Service,NC,37261102.61,0.133981299,Food Services 
South Atlantic,Food Service,SC,26994321.71,0.097064607,Food Services 
South Atlantic,Food Service,VA,21769369.24,0.078277028,Food Services 
South Atlantic,Food Service,WV,8084446.459,0.029069581,Food Services 
East North Central,Healthcare,IL,121447879.4,0.201137777,Health Care
East North Central,Healthcare,IN,71052758,0.11767512,Health Care
East North Central,Healthcare,MI,135040374.2,0.223649197,Health Care
East North Central,Healthcare,OH,184075001.7,0.304858651,Health Care
East North Central,Healthcare,WI,92188409.61,0.152679255,Health Care
East North Central,Office,IL,625303349.9,0.33884636,Office
East North Central,Office,IN,239465375.6,0.129764171,Office
East North Central,Office,MI,320063531.7,0.1734396,Office
East North Central,Office,OH,474540176.1,0.257149128,Office
East North Central,Office,WI,186016580.5,0.100800741,Office
East North Central,Lodging,IL,115730577,0.27610737,Lodging
East North Central,Lodging,IN,64587102.79,0.154090436,Lodging
East North Central,Lodging,MI,94545488.64,0.22556447,Lodging
East North Central,Lodging,OH,103988207.9,0.248092694,Lodging
East North Central,Lodging,WI,40299249.21,0.096145029,Lodging
East North Central,Mercantile,IL,421659031.6,0.26303856,Mercantile and Service
East North Central,Mercantile,IN,210076403.5,0.131049475,Mercantile and Service
East North Central,Mercantile,MI,347090798,0.216521542,Mercantile and Service
East North Central,Mercantile,OH,434014696.1,0.270746247,Mercantile and Service
East North Central,Mercantile,WI,190190323.4,0.118644177,Mercantile and Service
East North Central,Warehouse and Storage,IL,823295824.9,0.258202671,Warehouse
East North Central,Warehouse and Storage,IN,489219688.2,0.153429455,Warehouse
East North Central,Warehouse and Storage,MI,547259491.5,0.171631943,Warehouse
East North Central,Warehouse and Storage,OH,972941379.9,0.305134625,Warehouse
East North Central,Warehouse and Storage,WI,355847943.6,0.111601306,Warehouse
East North Central,Education,IL,546713531.8,0.32092668,Education
East North Central,Education,IN,232746156.6,0.136624479,Education
East North Central,Education,MI,338020361.5,0.198421561,Education
East North Central,Education,OH,386842595.2,0.227080733,Education
East North Central,Education,WI,199223883.9,0.116946547,Education
East North Central,Food Service,IL,43073931.96,0.232854424,Food Services 
East North Central,Food Service,IN,22338924.26,0.120762538,Food Services 
East North Central,Food Service,MI,34269373.68,0.185257647,Food Services 
East North Central,Food Service,OH,53318457.82,0.288235558,Food Services 
East North Central,Food Service,WI,31981547.75,0.172889833,Food Services 
West North Central,Healthcare,IA,37220696.39,0.136261358,Health Care
West North Central,Healthcare,KS,52385526.79,0.19177833,Health Care
West North Central,Healthcare,MN,45572390.7,0.1668361,Health Care
West North Central,Healthcare,MO,76195780.29,0.278945358,Health Care
